Source,Target,Type,Id,Label,Interval,Weight
Lubna_Azabal,Ahmad_Massad,Undirected,244,Lubna_Azabal,NA,1
Clint_Eastwood,Ahney_Her,Undirected,245,Clint_Eastwood,NA,1
Khalid_Abdalla,Aida_Elkashef,Undirected,246,Khalid_Abdalla,NA,1
Matt_Damon,Albert_Finney,Undirected,247,Matt_Damon,NA,1
Chris_Hemsworth,Alexandra_Maria_Lara,Undirected,248,Chris_Hemsworth,NA,1
Thomas_Kretschmann,Alexandra_Maria_Lara,Undirected,249,Thomas_Kretschmann,NA,1
Alice_Braga,Alexandre_Rodrigues,Undirected,250,Alice_Braga,NA,1
Harrison_Ford,Alison_Doody,Undirected,251,Harrison_Ford,NA,1
Benedict_Cumberbatch,Allen_Leech,Undirected,252,Benedict_Cumberbatch,NA,1
Wagner_Moura,André_Ramiro,Undirected,253,Wagner_Moura,NA,1
Robin_Wright,André_the_Giant,Undirected,254,Robin_Wright,NA,1
Harrison_Ford,Anthony_Daniels,Undirected,255,Harrison_Ford,NA,1
Anthony_Hopkins,Anthony_Heald,Undirected,256,Anthony_Hopkins,NA,1
Kevin_Spacey,Ara_Celi,Undirected,257,Kevin_Spacey,NA,1
Noam_Chomsky,Arik_Ascherman,Undirected,258,Noam_Chomsky,NA,1
Leonardo_DiCaprio,Ato_Essandoh,Undirected,259,Leonardo_DiCaprio,NA,1
Mark_Chinnery,Atsuko_Maeda,Undirected,260,Mark_Chinnery,NA,1
Matt_Damon,Barney_Frank,Undirected,261,Matt_Damon,NA,1
Kelly_Macdonald,Barry_Corbin,Undirected,262,Kelly_Macdonald,NA,1
Matt_Damon,Benedict_Wong,Undirected,263,Matt_Damon,NA,1
Orlando_Bloom,Bernard_Hill,Undirected,264,Orlando_Bloom,NA,1
Noam_Chomsky,Bill_Baird,Undirected,265,Noam_Chomsky,NA,1
Margaret_Hamilton,Billie_Burke,Undirected,266,Margaret_Hamilton,NA,1
Christopher_Lee,Billy_Boyd,Undirected,267,Christopher_Lee,NA,2
Minnie_Driver,Billy_Crudup,Undirected,268,Minnie_Driver,NA,1
Ólafur_Darri_Ólafsson,Björn_Hlynur_Haraldsson,Undirected,269,Ólafur_Darri_Ólafsson,NA,1
Ringo_Starr,Bob_Dylan,Undirected,270,Ringo_Starr,NA,1
Morgan_Freeman,Bob_Gunton,Undirected,271,Morgan_Freeman,NA,1
Wayne_Knight,Bob_Peck,Undirected,272,Wayne_Knight,NA,1
Tom_Skerritt,Bolaji_Badejo,Undirected,273,Tom_Skerritt,NA,1
Alexander_Gould,Brad_Garrett,Undirected,274,Alexander_Gould,NA,1
Kimberley_Crossman,Bree_Williamson,Undirected,275,Kimberley_Crossman,NA,1
Billy_Crudup,Brian_d'Arcy_James,Undirected,276,Billy_Crudup,NA,1
Pierre_Perrier,Céline_Sallette,Undirected,277,Pierre_Perrier,NA,1
Sylvester_Stallone,Carl_Weathers,Undirected,278,Sylvester_Stallone,NA,1
Liam_Neeson,Caroline_Goodall,Undirected,279,Liam_Neeson,NA,1
Joan_Allen,Cas_Anvar,Undirected,280,Joan_Allen,NA,1
Marshall_Bell,Casey_Siemaszko,Undirected,281,Marshall_Bell,NA,1
Elden_Henson,Charlie_Cox,Undirected,282,Elden_Henson,NA,1
David_Carradine,Chiaki_Kuriyama,Undirected,283,David_Carradine,NA,1
Robert_Downey_Jr.,Chris_Evans,Undirected,284,Robert_Downey_Jr.,NA,1
J.K._Simmons,Chris_Mulkey,Undirected,285,J.K._Simmons,NA,1
Quentin_Tarantino,Chris_Penn,Undirected,286,Quentin_Tarantino,NA,1
Michael_Fassbender,Christoph_Waltz,Undirected,287,Michael_Fassbender,NA,1
Peter_Robbins,Christopher_Shea,Undirected,288,Peter_Robbins,NA,1
John_Gilbert,Claire_Adams,Undirected,289,John_Gilbert,NA,1
Humphrey_Bogart,Conrad_Veidt,Undirected,290,Humphrey_Bogart,NA,1
Gerard_Butler,Craig_Ferguson,Undirected,291,Gerard_Butler,NA,1
Rita_Moreno,Cyd_Charisse,Undirected,292,Rita_Moreno,NA,1
Adam_Arkin,Damian_Lewis,Undirected,293,Adam_Arkin,NA,1
Myrna_Loy,Dana_Andrews,Undirected,294,Myrna_Loy,NA,1
Wilford_Brimley,David_Clennon,Undirected,295,Wilford_Brimley,NA,1
Fred_MacMurray,David_White,Undirected,296,Fred_MacMurray,NA,1
Anthony_Hopkins,Dexter_Fletcher,Undirected,297,Anthony_Hopkins,NA,1
Jason_Statham,Dexter_Fletcher,Undirected,298,Jason_Statham,NA,1
Bradley_Cooper,Djimon_Hounsou,Undirected,299,Bradley_Cooper,NA,1
Hanno_Pöschl,Dominik_Castell,Undirected,300,Hanno_Pöschl,NA,1
Jean-Louis_Trintignant,Dominique_Sanda,Undirected,301,Jean-Louis_Trintignant,NA,1
Tom_Hanks,Don_Rickles,Undirected,302,Tom_Hanks,NA,1
Campbell_Scott,Donald_Rumsfeld,Undirected,303,Campbell_Scott,NA,1
Min-sik_Choi,Dong-gun_Jang,Undirected,304,Min-sik_Choi,NA,1
Hugh_Jackman,Dylan_Minnette,Undirected,305,Hugh_Jackman,NA,1
Emilia_Fox,Ed_Stoppard,Undirected,306,Emilia_Fox,NA,1
Hanne_Aagesen,Ejner_Federspiel,Undirected,307,Hanne_Aagesen,NA,1
Sally_Kirkland,Elaine_Bromka,Undirected,308,Sally_Kirkland,NA,1
Dorian_Missick,Ellen_Barkin,Undirected,309,Dorian_Missick,NA,1
Abigail_Evans,Emily_Gorell,Undirected,310,Abigail_Evans,NA,1
Patrick_Fugit,Emily_Ratajkowski,Undirected,311,Patrick_Fugit,NA,1
Sarah_Michelle_Gellar,Emma_Caulfield,Undirected,312,Sarah_Michelle_Gellar,NA,1
Francis_Capra,Enrico_Colantoni,Undirected,313,Francis_Capra,NA,1
Clint_Eastwood,Enzo_Petito,Undirected,314,Clint_Eastwood,NA,1
Bob_Proctor,Eric_Worre,Undirected,315,Bob_Proctor,NA,1
Peter_Dinklage,Erick_Avari,Undirected,316,Peter_Dinklage,NA,1
Liv_Ullmann,Erland_Josephson,Undirected,317,Liv_Ullmann,NA,1
Brad_Pitt,Eugenie_Bondurant,Undirected,318,Brad_Pitt,NA,1
Kelly_Macdonald,Ewen_Bremner,Undirected,319,Kelly_Macdonald,NA,1
Bill_Murray,F._Murray_Abraham,Undirected,320,Bill_Murray,NA,1
Mary_Kate_Wiles,Felix_Avitia,Undirected,321,Mary_Kate_Wiles,NA,1
Clint_Eastwood,Frances_Fisher,Undirected,322,Clint_Eastwood,NA,1
Jason_Flemyng,Frances_O'Connor,Undirected,323,Jason_Flemyng,NA,1
Robert_De_Niro,Frank_Vincent,Undirected,324,Robert_De_Niro,NA,1
Paulette_Goddard,Fred_Malatesta,Undirected,325,Paulette_Goddard,NA,1
Christopher_Judge,Gary_Jones,Undirected,326,Christopher_Judge,NA,1
Nehemiah_Persoff,George_Raft,Undirected,327,Nehemiah_Persoff,NA,1
Laurence_Olivier,George_Sanders,Undirected,328,Laurence_Olivier,NA,1
Keir_Dullea,Glenn_Beck,Undirected,329,Keir_Dullea,NA,1
Rob_McElhenney,Glenn_Howerton,Undirected,330,Rob_McElhenney,NA,1
Keanu_Reeves,Gloria_Foster,Undirected,331,Keanu_Reeves,NA,1
James_Coburn,Gordon_Jackson,Undirected,332,James_Coburn,NA,1
Adriana_Barraza,Goya_Toledo,Undirected,333,Adriana_Barraza,NA,1
Michael_Emerson,Grey_Griffin,Undirected,334,Michael_Emerson,NA,1
Ricardo_Darín,Guillermo_Francella,Undirected,335,Ricardo_Darín,NA,1
Don_Cheadle,Hakeem_Kae-Kazim,Undirected,336,Don_Cheadle,NA,1
Kristen_Stewart,Hal_Holbrook,Undirected,337,Kristen_Stewart,NA,1
Thomas_Bo_Larsen,Hana_Shuan,Undirected,338,Thomas_Bo_Larsen,NA,1
Ryan_O'Neal,Hardy_Krüger,Undirected,339,Ryan_O'Neal,NA,1
Jürgen_Prochnow,Herbert_Grönemeyer,Undirected,340,Jürgen_Prochnow,NA,1
Caroline_Dhavernas,Hettienne_Park,Undirected,341,Caroline_Dhavernas,NA,1
Min-sik_Choi,Hye-jeong_Kang,Undirected,342,Min-sik_Choi,NA,1
Mathieu_Kassovitz,Isabelle_Nanty,Undirected,343,Mathieu_Kassovitz,NA,1
William_Gates,Isiah_Thomas,Undirected,344,William_Gates,NA,1
Yaphet_Kotto,Ivan_Dixon,Undirected,345,Yaphet_Kotto,NA,1
Lea_Thompson,J.J._Cohen,Undirected,346,Lea_Thompson,NA,1
Burl_Ives,Jack_Carson,Undirected,347,Burl_Ives,NA,1
Johnny_Depp,Jack_Davenport,Undirected,348,Johnny_Depp,NA,1
Claudia_Cardinale,Jack_Elam,Undirected,349,Claudia_Cardinale,NA,1
Claude_Rains,Jack_Hawkins,Undirected,350,Claude_Rains,NA,1
William_Holden,Jack_Hawkins,Undirected,351,William_Holden,NA,1
Simon_Bird,James_Buckley,Undirected,352,Simon_Bird,NA,1
Steve_Buscemi,James_Coburn,Undirected,353,Steve_Buscemi,NA,1
Jake_Gyllenhaal,James_Duval,Undirected,354,Jake_Gyllenhaal,NA,1
Mhairi_Calvey,James_Robinson,Undirected,355,Mhairi_Calvey,NA,1
Rosario_Dawson,Jason_Douglas,Undirected,356,Rosario_Dawson,NA,1
Jason_Statham,Jason_Flemyng,Undirected,357,Jason_Statham,NA,1
Christian_Bale,Jean_Simmons,Undirected,358,Christian_Bale,NA,1
John_Ratzenberger,Jeff_Garlin,Undirected,359,John_Ratzenberger,NA,1
Michael_Biehn,Jenette_Goldstein,Undirected,360,Michael_Biehn,NA,1
John_Ratzenberger,Jess_Harnell,Undirected,361,John_Ratzenberger,NA,1
Tom_Hanks,Jim_Varney,Undirected,362,Tom_Hanks,NA,1
Vidya_Balan,Jimmy_Shergill,Undirected,363,Vidya_Balan,NA,1
Cary-Hiroyuki_Tagawa,Joan_Allen,Undirected,364,Cary-Hiroyuki_Tagawa,NA,1
Joe_Cocker,Joan_Baez,Undirected,365,Joe_Cocker,NA,1
Martin_Short,Joe_Flaherty,Undirected,366,Martin_Short,NA,1
Nicholas_Aaron,Joe_Simpson,Undirected,367,Nicholas_Aaron,NA,1
Scatman_Crothers,Joe_Turkel,Undirected,368,Scatman_Crothers,NA,1
Jack_Warden,John_Fiedler,Undirected,369,Jack_Warden,NA,1
Janet_Leigh,John_Gavin,Undirected,370,Janet_Leigh,NA,1
Candice_Bergen,John_Gielgud,Undirected,371,Candice_Bergen,NA,1
Oliver_Reed,John_Gielgud,Undirected,372,Oliver_Reed,NA,1
Robert_De_Niro,John_Savage,Undirected,373,Robert_De_Niro,NA,1
Leonardo_DiCaprio,Jon_Favreau,Undirected,374,Leonardo_DiCaprio,NA,1
Callum_Rennie,Jorja_Fox,Undirected,375,Callum_Rennie,NA,1
Leonardo_DiCaprio,Joseph_Gordon-Levitt,Undirected,376,Leonardo_DiCaprio,NA,1
Tom_Hardy,Joseph_Gordon-Levitt,Undirected,377,Tom_Hardy,NA,1
Jackie_Gleason,Joyce_Randolph,Undirected,378,Jackie_Gleason,NA,1
Adam_Goldberg,Judd_Hirsch,Undirected,379,Adam_Goldberg,NA,1
Takashi_Shimura,Kamatari_Fujiwara,Undirected,380,Takashi_Shimura,NA,1
Justin_Fletcher,Kate_Harbour,Undirected,381,Justin_Fletcher,NA,1
George_C._Scott,Keenan_Wynn,Undirected,382,George_C._Scott,NA,1
Katharine_Ross,Kenneth_Mars,Undirected,383,Katharine_Ross,NA,1
Harrison_Ford,Kenny_Baker,Undirected,384,Harrison_Ford,NA,2
Jim_Meskimen,Kevin_Breznahan,Undirected,385,Jim_Meskimen,NA,1
Debi_Mazar,Kevin_Dillon,Undirected,386,Debi_Mazar,NA,1
Johnny_Depp,Kevin_Dillon,Undirected,387,Johnny_Depp,NA,1
Tom_Hardy,Kevin_Dunn,Undirected,388,Tom_Hardy,NA,1
Kevin_Spacey,Kevin_Pollak,Undirected,389,Kevin_Spacey,NA,1
Robert_De_Niro,Kevin_Pollak,Undirected,390,Robert_De_Niro,NA,1
Bono,Larry_Mullen_Jr.,Undirected,391,Bono,NA,1
Michael_Nyqvist,Lena_Endre,Undirected,392,Michael_Nyqvist,NA,1
Jim_Broadbent,Lily_James,Undirected,393,Jim_Broadbent,NA,1
Gary_Cooper,Lon_Chaney_Jr.,Undirected,394,Gary_Cooper,NA,1
Scatman_Crothers,Louise_Fletcher,Undirected,395,Scatman_Crothers,NA,1
Ellen_Burstyn,Louise_Lasser,Undirected,396,Ellen_Burstyn,NA,1
Leonardo_DiCaprio,Lukas_Haas,Undirected,397,Leonardo_DiCaprio,NA,1
Harrison_Ford,M._Emmet_Walsh,Undirected,398,Harrison_Ford,NA,1
Matthew_McConaughey,Mackenzie_Foy,Undirected,399,Matthew_McConaughey,NA,1
Anupam_Kher,Madhavan,Undirected,400,Anupam_Kher,NA,1
Maria_Pia_Calzone,Marco_D'Amore,Undirected,401,Maria_Pia_Calzone,NA,1
Stephen_Colbert,Maria_Thayer,Undirected,402,Stephen_Colbert,NA,1
David_Raizor,Martin_Kove,Undirected,403,David_Raizor,NA,1
Sebastian_Koch,Martina_Gedeck,Undirected,404,Sebastian_Koch,NA,1
Al_Pacino,Mary_Elizabeth_Mastrantonio,Undirected,405,Al_Pacino,NA,1
Tom_Hanks,Matt_Damon,Undirected,406,Tom_Hanks,NA,1
Zack_Ward,Megan_Follows,Undirected,407,Zack_Ward,NA,1
Brendon_Small,Melissa_Bardin_Galsky,Undirected,408,Brendon_Small,NA,1
Tom_Hanks,Michael_Jeter,Undirected,409,Tom_Hanks,NA,1
Tommy_Sheppard,Mickey_Hart,Undirected,410,Tommy_Sheppard,NA,1
Clint_Eastwood,Mike_Colter,Undirected,411,Clint_Eastwood,NA,1
David_Ogden_Stiers,Mike_Farrell,Undirected,412,David_Ogden_Stiers,NA,1
Emma_Stone,Mike_Vogel,Undirected,413,Emma_Stone,NA,1
Robin_Williams,Minnie_Driver,Undirected,414,Robin_Williams,NA,1
Elina_Abai_Kyzy,Mirlan_Abdulayev,Undirected,415,Elina_Abai_Kyzy,NA,1
Bunta_Sugawara,Miyu_Irino,Undirected,416,Bunta_Sugawara,NA,1
Bahare_Seddiqi,Mohammad_Amir_Naji,Undirected,417,Bahare_Seddiqi,NA,1
Christian_Bale,Morgan_Freeman,Undirected,418,Christian_Bale,NA,2
Donatas_Banionis,Natalya_Bondarchuk,Undirected,419,Donatas_Banionis,NA,1
John_F._Kennedy,Neil_Armstrong,Undirected,420,John_F._Kennedy,NA,1
Leonardo_DiCaprio,Nellie_Sciutto,Undirected,421,Leonardo_DiCaprio,NA,1
Matthew_Broderick,Niketa_Calame,Undirected,422,Matthew_Broderick,NA,1
Krystyna_Janda,Olgierd_Lukaszewicz,Undirected,423,Krystyna_Janda,NA,2
Kirsten_Dunst,Oliver_Platt,Undirected,424,Kirsten_Dunst,NA,1
Djimon_Hounsou,Oliver_Reed,Undirected,425,Djimon_Hounsou,NA,1
Bruce_Willis,Olivia_Williams,Undirected,426,Bruce_Willis,NA,1
Kevin_Spacey,Paul_Guilfoyle,Undirected,427,Kevin_Spacey,NA,1
Robert_De_Niro,Paul_Sorvino,Undirected,428,Robert_De_Niro,NA,1
Michael_Biehn,Paul_Winfield,Undirected,429,Michael_Biehn,NA,1
Robert_De_Niro,Peter_Boyle,Undirected,430,Robert_De_Niro,NA,1
Natascha_McElhone,Peter_Krause,Undirected,431,Natascha_McElhone,NA,1
Shahab_Hosseini,Peyman_Moaadi,Undirected,432,Shahab_Hosseini,NA,1
Bruce_Willis,Phil_LaMarr,Undirected,433,Bruce_Willis,NA,1
Amy_Poehler,Phyllis_Smith,Undirected,434,Amy_Poehler,NA,1
Tamannaah_Bhatia,Prabhas,Undirected,435,Tamannaah_Bhatia,NA,1
Nimrat_Kaur,Purab_Kohli,Undirected,436,Nimrat_Kaur,NA,1
Collin_Alfredo_St._Dic,Puti_Sri_Candra_Dewi,Undirected,437,Collin_Alfredo_St._Dic,NA,1
Eileen_Brennan,Ray_Walston,Undirected,438,Eileen_Brennan,NA,1
Leonardo_DiCaprio,Ray_Winstone,Undirected,439,Leonardo_DiCaprio,NA,1
Morgan_Freeman,Reg_E._Cathey,Undirected,440,Morgan_Freeman,NA,1
Alan_Rickman,Reginald_VelJohnson,Undirected,441,Alan_Rickman,NA,1
Al_Pacino,Robert_Duvall,Undirected,442,Al_Pacino,NA,1
Harrison_Ford,Robert_Duvall,Undirected,443,Harrison_Ford,NA,1
Robert_De_Niro,Robert_Duvall,Undirected,444,Robert_De_Niro,NA,1
Marlon_Brando,Rod_Steiger,Undirected,445,Marlon_Brando,NA,1
Brigitte_Helm,Rudolf_Klein-Rogge,Undirected,446,Brigitte_Helm,NA,1
Romola_Garai,Rupert_Evans,Undirected,447,Romola_Garai,NA,1
Natalie_Portman,Rupert_Graves,Undirected,448,Natalie_Portman,NA,1
Dominic_Cooper,Ruth_Negga,Undirected,449,Dominic_Cooper,NA,1
Joe_Morton,S._Epatha_Merkerson,Undirected,450,Joe_Morton,NA,1
Tom_Hanks,Sam_Anderson,Undirected,451,Tom_Hanks,NA,1
Matthew_Ziff,Sam_Medina,Undirected,452,Matthew_Ziff,NA,1
Shirley_Henderson,Sarah_Lancashire,Undirected,453,Shirley_Henderson,NA,1
Chris_Hemsworth,Scarlett_Johansson,Undirected,454,Chris_Hemsworth,NA,1
Christian_Bale,Scarlett_Johansson,Undirected,455,Christian_Bale,NA,1
Zach_Gilford,Scott_Porter,Undirected,456,Zach_Gilford,NA,1
Zack_Ward,Scott_Schwartz,Undirected,457,Zack_Ward,NA,1
Ivana_Baquero,Sergi_López,Undirected,458,Ivana_Baquero,NA,1
Woody_Allen,Shelley_Duvall,Undirected,459,Woody_Allen,NA,1
Maximilian_Schell,Spencer_Tracy,Undirected,460,Maximilian_Schell,NA,1
Ethan_Suplee,Stacy_Keach,Undirected,461,Ethan_Suplee,NA,1
Ryan_Reynolds,Stefan_Kapicic,Undirected,462,Ryan_Reynolds,NA,1
Tobias_Menzies,Stephen_Walters,Undirected,463,Tobias_Menzies,NA,1
Philip_Seymour_Hoffman,Steve_Buscemi,Undirected,464,Philip_Seymour_Hoffman,NA,1
Anwar_Congo,Syamsul_Arifin,Undirected,465,Anwar_Congo,NA,1
Belén_Rueda,Tamar_Novas,Undirected,466,Belén_Rueda,NA,1
Quvenzhané_Wallis,Taran_Killam,Undirected,467,Quvenzhané_Wallis,NA,1
Eric_Idle,Terry_Jones,Undirected,468,Eric_Idle,NA,1
Mitsuo_Iwata,Tesshô_Genda,Undirected,469,Mitsuo_Iwata,NA,1
Claude_Rains,Thomas_Mitchell,Undirected,470,Claude_Rains,NA,1
Donna_Reed,Thomas_Mitchell,Undirected,471,Donna_Reed,NA,1
Hattie_McDaniel,Thomas_Mitchell,Undirected,472,Hattie_McDaniel,NA,1
Brighton_Sharbino,Tim_Guinee,Undirected,473,Brighton_Sharbino,NA,1
Corbin_Bernsen,Timothy_Omundson,Undirected,474,Corbin_Bernsen,NA,1
Jeffrey_Jones,Tom_Hulce,Undirected,475,Jeffrey_Jones,NA,1
Kate_Winslet,Tom_Wilkinson,Undirected,476,Kate_Winslet,NA,1
Steven_Van_Zandt,Tommy_Karlsen,Undirected,477,Steven_Van_Zandt,NA,1
Robert_De_Niro,Treat_Williams,Undirected,478,Robert_De_Niro,NA,1
Ulrich_Thomsen,Trine_Dyrholm,Undirected,479,Ulrich_Thomsen,NA,1
Lee_Marvin,Vera_Miles,Undirected,480,Lee_Marvin,NA,1
Peter_Mensah,Viva_Bianca,Undirected,481,Peter_Mensah,NA,1
Claudette_Colbert,Walter_Connolly,Undirected,482,Claudette_Colbert,NA,1
Ruth_Wilson,Warren_Brown,Undirected,483,Ruth_Wilson,NA,1
Robert_Duvall,William_Holden,Undirected,484,Robert_Duvall,NA,1
Harrison_Ford,William_Hootkins,Undirected,485,Harrison_Ford,NA,1
Robert_Duvall,William_Windom,Undirected,486,Robert_Duvall,NA,1
Bill_Murray,Willie_Garson,Undirected,487,Bill_Murray,NA,1
